PERMIT_NUMBER,OWNER_NAME,STATUS_CODE,CITY,STREET,STATE,ZIP,ZIP4,COUNTY,PERMIT_EFFECTIVE_DATE,PERMIT_ISSUE_DATE,,
AZ-S-15006,SONORAN SPIRITS LLC,Active,PHOENIX,1725 W WILLIAMS DR ,AZ,85027,1332,MARICOPA,18-Jul-12,18-Jul-12,,
AZ-S-15008,"FORWARD BRANDS, LLC",Active,CAREFREE,100 EASY ST ,AZ,85377,0,MARICOPA,22-Oct-14,22-Oct-14,,
AZ-S-15010,HAMILTON DISTILLERS GROUP LLC,Active,TUCSON,2106 N FORBES AVE ,AZ,85745,0,PIMA,1-Sep-14,1-Oct-14,,
AZ-S-15011,CASKWERKS DISTILLING CO.,Active,TEMPE,1920 E UNIVERSITY DR ,AZ,85281,0,MARICOPA,5-Nov-14,5-Nov-14,,
AZ-S-20001,ARIZONA SPIRITS LLC,Active,TEMPE,601  W UNIVERSITY DR ,AZ,85281,0,MARICOPA,7-Jun-12,7-Jun-12,,
AZ-S-20002,LIPSMARK LLC,Active,TEMPE,5235  S KYRENE RD ,AZ,85283,1780,MARICOPA,20-Aug-12,20-Aug-12,,
AZ-S-20004,"CANYON DIABLO SPIRITS, LLC",Active,FLAGSTAFF,506  N GRANT ST ,AZ,86004,6024,Coconino,13-May-14,13-May-14,,
AZ-S-20005,"ARIZONA CRAFT BEVERAGE, INC.",Active,ELGIN,473 1/2 ELGIN RD ,AZ,85611,0,Santa Cruz,18-Sep-14,18-Sep-14,,
AZ-S-20006,"FROSTY 3,  LLC",Active,SCOTTSDALE,15681  N HAYDEN RD ,AZ,85260,0,Maricopa,20-Oct-14,20-Oct-14,,
AZ-S-20007,THREE WELLS DISTILLING COMPANY,Active,TUCSON,3780  E 44TH ST ,AZ,85713,5700,Pima,3-Nov-14,3-Nov-14,,
AZ-S-20008,"SAN TAN BREWING COMPANY, INC.",Active,CHANDLER,495  E WARNER RD ,AZ,85225,0,Maricopa,28-May-15,28-May-15,,
AZ-S-20009,LUCIDI DISTILLING CO LLC,Active,PEORIA,8307  W WASHINGTON ST ,AZ,85345,0,Maricopa,9-Oct-15,9-Oct-15,,
AZ-S-20010,PARADOX DISTILLERY LLC,Active,PHOENIX,1725  W WILLIAMS DR ,AZ,85027,2046,Maricopa,1-Dec-15,1-Dec-15,,
AZ-S-20011,"FLYING LEAP VINEYARDS, INC.",Active,ELGIN,342  ELGIN RD ,AZ,85611,0,Santa Cruz,17-Dec-15,17-Dec-15,,
AZ-S-20012,FRANCHISE ENTERPRISES LLC,Active,PHOENIX,30855  N CAVE CREEK RD ,AZ,85331,0,Maricopa,29-Dec-15,29-Dec-15,,
AZ-S-20013,STEPHEN BECKER,Active,CHANDLER,6509  W FRYE RD ,AZ,85226,0,MARICOPA,29-Jan-16,29-Jan-16,,
AZ-S-20014,THUNDER CANYON DISTILLERY LLC,Active,TUCSON,220  E BROADWAY BLVD ,AZ,85701,0,Pima,2-Feb-16,2-Feb-16,,
AZ-S-20015,RED MOUNTAIN DISTILLING AND SPIRITS LLC,Active,TEMPE,625  S SMITH RD ,AZ,85281,0,,9-Mar-16,9-Mar-16,,
