PERMIT_NUMBER,OWNER_NAME,STATUS_CODE,CITY,STREET,STATE,ZIP,ZIP4,COUNTY,PERMIT_EFFECTIVE_DATE,PERMIT_ISSUE_DATE,,
DE-S-20002,"LEGACY DISTILLING, LLC",Active,SMYRNA,106  W COMMERCE ST ,DE,19977,1119,Kent,20-Jun-13,20-Jun-13,,
DE-S-20003,"BEACH BUM DISTILLING, LLC",Active,LEWES,32191  NASSAU RD ,DE,19958,3762,Sussex,7-Oct-14,7-Oct-14,,
DE-S-20004,DOGFISH HEAD DISTILLERY LLC,Active,MILTON,6  CANNERY VILLAGE CTR ,DE,19968,0,Sussex,20-Feb-15,20-Feb-15,,
DE-S-20005,"R.J. BAKER DISTILLERY, LLC",Active,LAUREL,34171  RIDER RD ,DE,19956,0,Sussex,6-Aug-15,6-Aug-15,,
FL-S-15000,RELEVE INDUSTRIES INC.,Active,CLEWISTON,515 E OBISPO AVE ,FL,33440,4720,HENDRY,14-Jul-05,14-Jul-05,,
FL-S-15003,"SANTIAGO MASTERBLENDERS, LLC",Active,OKEECHOBEE,27200 NW 130TH BLVD ,FL,34972,487,OKEECHOBEE,22-Sep-06,22-Sep-06,,
FL-S-15004,"BEVERAGE RESOURCES, LLC",Active,LAKELAND,4100 FRONTAGE RD S,FL,33815,3200,POLK,31-Oct-12,13-Feb-13,,
FL-S-15009,"FLORIDIAN LIQUID ASSETS, LLC",Active,WINTER GARDEN,902 CARTER RD ,FL,34787,4143,ORANGE,20-Feb-08,20-Feb-08,,
FL-S-15010,MICHAN CORPORATION,Active,UMATILLA,23100 SE HIGHWAY 42 ,FL,32784,0,LAKE,28-Aug-08,28-Aug-08,,
FL-S-15011,"DRUM CIRCLE DISTILLING, LLC",Active,SARASOTA,2212 INDUSTRIAL BLVD ,FL,34234,3120,SARASOTA,27-Jan-09,27-Jan-09,,
FL-S-15016,CARIBBEAN DISTILLERS LLC,Active,AUBURNDALE,425 RECKER HWY ,FL,33823,4035,POLK,18-Oct-10,2-Nov-10,,
FL-S-15021,"DESTILERIA CANECA, LLC",Active,MIAMI,2320 N MIAMI AVE ,FL,33127,4432,MIAMI-DADE,6-Jul-11,6-Jul-11,,
FL-S-15022,"SHOTPAQ, LLC",Active,SARASOTA,1712 NORTHGATE BLVD ,FL,34234,0,SARASOTA,28-Oct-11,28-Oct-11,,
FL-S-15023,"FISH HAWK SPIRITS, LLC",Active,OCALA,16350 SW 20TH LN ,FL,34481,8800,MARION,20-Mar-12,20-Mar-12,,
FL-S-15024,ALCHEMIST DISTILLERIES INC,Active,MIAMI,6468-6470 NW 77TH CT ,FL,33166,2709,MIAMI-DADE,10-Jul-12,10-Jul-12,,
FL-S-15025,"ST. PETERSBURG DISTILLERY COMPANY, LLC",Active,ST PETERSBURG,800 31ST STREET S,FL,33712,0,PINELLAS,1-Dec-16,18-May-17,,
FL-S-17,BACARDI BOTTLING CORPORATION,Active,JACKSONVILLE,12200 N MAIN ST ,FL,32218,3819,DUVAL,21-Aug-92,21-Aug-92,,
FL-S-20001,CAPE SPIRITS INC.,Active,CAPE CORAL,131 SW 3RD PL SW,FL,33991,2011,Lee,6-Feb-12,6-Feb-12,,
FL-S-20003,"ROLLINS DISTILLERY, INC.",Active,GULF BREEZE,5680  GULF BREEZE PKWY ,FL,32563,9577,Santa Rosa,30-Aug-12,30-Aug-12,,
FL-S-20004,BLACK CORAL RUM LLC,Active,RIVERA BEACH,1231  W 13TH ST N,FL,33404,0,,14-Jan-13,14-Jan-13,,
FL-S-20005,"NJOY SPIRITS, LLC",Active,WEEKI WACHEE,7237  WILD BUCK RD ,FL,34613,0,Hernando,8-Feb-13,8-Feb-13,,
FL-S-20006,"WINTER PARK DISTILLING COMPANY, LLC",Active,WINTER PARK,1288  N ORANGE AVE ,FL,32789,0,Orange,24-May-13,24-May-13,,
FL-S-20007,VL AMERICAN REPUBLIC'S LLC,Active,HIALEAH,6520  W 20TH AVE ,FL,33016,0,,31-Jul-13,31-Jul-13,,
FL-S-20008,"ST. AUGUSTINE DISTILLERY COMPANY, LLC",Active,SAINT AUGUSTINE,112  RIBERIA ST ,FL,32084,0,SAINT JOHNS,9-Sep-13,9-Sep-13,,
FL-S-20009,"LONGSTOCK II, LLC",Active,KEY WEST,7013  SHRIMP RD ,FL,33040,0,Monroe,17-Sep-13,17-Sep-13,,
FL-S-20010,"FRIO DISTRIBUTORS, INC.",Active,PLANT CITY,1406  MERCANTILE CT ,FL,33563,0,Hillsborough,25-Oct-13,25-Oct-13,,
FL-S-20011,"PEADEN BROTHERS DISTILLERY OF FLORIDA, LLC",Active,CRESTVIEW,382  MAIN ST ,FL,32536,0,,29-Oct-13,29-Oct-13,,
FL-S-20012,"CHEF DISTILLED, LLC",Active,KEY WEST,105 A SIMONTON ST ,FL,33040,0,Monroe,29-Oct-13,29-Oct-13,,
FL-S-20013,"ADAMS AND LEE DISTILLERS, INC.",Active,TALLAHASSEE,1406  MAX DR ,FL,32303,0,US,6-Dec-13,6-Dec-13,,
FL-S-20014,KEY WEST DISTILLING INC,Active,KEY WEST,524  SOUTHARD ST ,FL,33040,0,,9-Dec-13,9-Dec-13,,
FL-S-20016,"CITRUS DISTILLERS, LLC",Active,RIVIERA BEACH,6701  GARDEN RD ,FL,33404,5900,Palm Beach,7-Jan-14,7-Jan-14,,
FL-S-20017,CHAPLE DISTILLERY LLC,Active,MIAMI,16597  SW 117 AVE ,FL,33177,2101,Miami Dade,18-Feb-14,18-Feb-14,,
FL-S-20018,V.I.P. DRINKS BOTTLING LLC,Active,FORT MYERS,14231  W JETPORT LOOP ,FL,33913,7755,Lee County,13-May-14,13-May-14,,
FL-S-20019,"COTHERMAN DISTILLING COMPANY, LLC",Active,DUNEDIN,933  HUNTLEY AVE ,FL,34698,5722,Pinellas,19-May-14,19-May-14,,
FL-S-20020,"C & C BULK LIQUID TRANSFER, INC.",Active,JACKSONVILLE,11005  BLASIUS RD ,FL,32226,0,Duval,3-Jun-14,3-Jun-14,,
FL-S-20021,LUCCO LLC,Active,SUNRISE,563  SAWGRASS CORPORATE PKWY ,FL,33325,0,Broward,28-Jul-14,28-Jul-14,,
FL-S-20022,J. L. A DISTILLERY INC,Active,ORLANDO,4709  DISTRIBUTION CT ,FL,32822,0,United States,30-Jul-14,30-Jul-14,,
FL-S-20024,"MARLIN & BARREL DISTILLERY, LLC",Active,FERNANDINA BEACH,115  SOUTH SECOND ST ,FL,32034,0,,11-Aug-14,11-Aug-14,,
FL-S-20025,"GREY MATTER DISTILLERY, LLC",Active,JACKSONVILLE,7949  ATLANTIC BLVD ,FL,32211,0,Duval,20-Oct-14,20-Oct-14,,
FL-S-20026,"TIMBER CREEK DISTILLING, LLC.",Active,CRESTVIEW,6358  LAKE ELLA RD ,FL,32539,0,Okaloosa,4-Nov-14,4-Nov-14,,
FL-S-20027,SOUTH FLORIDA DISTILLERS INC.,Active,FORT LAUDERDALE,2612  S FEDERAL HWY ,FL,33316,0,BROWARD,14-Nov-14,14-Nov-14,,
FL-S-20028,SOUTHERN LATITUDE DISTILLING LLC,Active,TAMPA,6131  ANDERSON RD ,FL,33634,0,Hillsborough,24-Nov-14,24-Nov-14,,
FL-S-20029,"FREQUENCY SPIRITS, LLC",Active,JACKSONVILLE,11210  PHILLIPS INDUSTRIAL BLVD ,FL,32256,0,,28-May-15,28-May-15,,
FL-S-20030,"KOZUBA & SONS DISTILLERY, INC.",Active,ST. PETERSBURG,1960  5TH AVE S,FL,33712,0,Pinellas,13-Jul-15,13-Jul-15,,
FL-S-20031,"THE FLORIDA CANE DISTILLERY, INC.",Active,TAMPA,1820  N 15TH ST ,FL,33605,0,,11-Aug-15,11-Aug-15,,
FL-S-20032,COASTAL BAY BEVERAGE COMPANY LLC,Active,OAKLAND PARK,4565  NW 9TH AVE ,FL,33309,0,Broward,28-Aug-15,28-Aug-15,,
FL-S-20033,"BLUE BAYOU FARMS, INC.",Active,YALAHA,26921  BLOOMFIELD AVE ,FL,34797,0,Lake,2-Nov-15,2-Nov-15,,
FL-S-20034,"COPPERHEADS SOUTHERN DISTILLERY,INC",Active,BROOKSVILLE,23263  ALLMAN RD ,FL,34601,0,Hernando,10-Nov-15,10-Nov-15,,
FL-S-20035,"BIG CYPRESS DISTILLERY, LLC",Active,MIAMI,13995  SW 144 AVE ,FL,33186,0,Miami-Dade,7-Dec-15,7-Dec-15,,
FL-S-20036,VOSS ENTERPRISES LLC,Active,PUNTA GORDA,25522  E MARION AVE ,FL,33950,0,Charlotte,9-Dec-15,9-Dec-15,,
FL-S-20037,LIST DISTILLERY LLC,Active,FORT MYERS,3680  E EVANS AVE N ,FL,33901,0,Florida,4-Jan-16,4-Jan-16,,
FL-S-20038,"GOOD OLE FRIENDS, LLC",Active,LARGO,11960  67TH WAY ,FL,33773,3505,Pinellas,8-Jan-16,8-Jan-16,,
FL-S-20039,FOUR FATHERS DISTILLERY LLC,Active,JACKSONVILLE,2917  BORDEN ST ,FL,32209,0,Duval,12-Jan-16,12-Jan-16,,
FL-S-20040,"THE RUM PROJECT, LLC",Active,TAMPA,6430  N FLORIDA AVE ,FL,33604,0,Hillsborough,16-Feb-16,16-Feb-16,,
FL-S-20041,G.E.E. DISTILLERIES CORPORATION,Active,MIMS,5175  INTERNATIONAL AVE ,FL,32754,0,Brevard,21-Mar-16,21-Mar-16,,
FL-S-20042,"FOUR SEAS DISTILLING COMPANY, LLC",Active,HOLLY HILL,998  N BEACH ST ,FL,32117,0,Volusia,11-May-16,11-May-16,,
FL-S-20043,OUR/MIAMI VODKA LLC,Active,MIAMI,7401  NW MIAMI PL ,FL,33150,0,,31-May-16,31-May-16,,
FL-S-20044,"MANIFEST DISTILLING, LLC",Active,JACKSONVILLE,960  E FORSYTH ST ,FL,32202,0,Duval,2-Jun-16,2-Jun-16,,
FL-S-20045,GUNNAR'S DISTILLING COMPANY,Active,PALM COAST,15  HARGROVE LN ,FL,32137,0,,16-Aug-16,16-Aug-16,,
FL-S-20046,"TAMPA BAY RUM COMPANY, LLC",Active,TAMPA,2102  E 4TH AVE ,FL,33605,0,,22-Sep-16,22-Sep-16,,
FL-S-20047,"GRINDSTONE DISTILLERY, LLC",Active,FORT LAUDERDALE,1101  NE 13 ST ,FL,33304,0,Broward,19-Oct-16,19-Oct-16,,
FL-S-20048,BLACKWATER SPIRITS INC.,Active,MILTON,5930  COMMERCE RD ,FL,32583,0,Santa Rosa,17-Nov-16,17-Nov-16,,
FL-S-20049,YAPPY DOG LLC,Active,ORLANDO,6839  NARCOOSSEE RD ,FL,32822,0,Orange,6-Dec-16,6-Dec-16,,
FL-S-20050,"BURLOCK & BARREL DISTILLERS OF FLORIDA, LLC",Active,JACKSONVILLE,417  MAGNOLIA ST ,FL,32204,0,Duval,14-Dec-16,14-Dec-16,,
FL-S-20051,"FISH HAWK SPIRITS, LLC",Active,TAMPA,1600  E 8TH AVE ,FL,33605,0,Hillsborough,22-Dec-16,22-Dec-16,,
FL-S-20052,"FISH HAWK SPIRITS, LLC",Active,GAINESVILLE,21  SW 2ND ST ,FL,32601,0,Alachun,22-Dec-16,22-Dec-16,,
FL-S-20053,FIRST CITY DISTILLING LLC,Active,PENSACOLA,307  S REUS ST ,FL,32502,0,Escambia,23-Dec-16,23-Dec-16,,
FL-S-26,"MANGO BOTTLING, INC.",Active,COCOA,767 CLEARLAKE RD ,FL,32922,5208,BREVARD,13-Dec-93,13-Dec-93,,
FL-S-29,"BARTOW ETHANOL OF FLORIDA, L.C.",Active,BARTOW,1705 E MANN RD ,FL,33830,7542,POLK,20-May-99,20-May-99,,
FL-S-31,"FAT DOG SPIRITS, LLC",Active,TAMPA,3212 N 40TH ST ,FL,33605,0,HILLSBOROUGH,28-Jul-15,10-Mar-17,,
GA-S-15002,"THIRTEENTH COLONY DISTILLERIES, LLC",Active,AMERICUS,305  N DUDLEY  ST ,GA,31709,3413,SUMTER,30-Jan-09,30-Jan-09,,
GA-S-15003,"MAPLE GROVE PRODUCTS, INC.",Active,ATLANTA,630 INTERCHANGE DR ,GA,30336,1604,FULTON,3-May-10,3-May-10,,
GA-S-15005,"IVY MOUNTAIN DISTILLERY, LLC",Active,MOUNT AIRY,1896 DICKS HILL PKWY ,GA,30563,0,HABERSHAM,18-Apr-11,18-Apr-11,,
GA-S-15006,"GEORGIA DISTILLING COMPANY, INC.",Active,MILLEDGEVILLE,121 BLANDY WAY ,GA,31061,0,BALDWIN,27-Jun-11,27-Jun-11,,
GA-S-15008,DAN KENNETH RIVERS SR.,Active,JACKSON,540 W THIRD ST ,GA,30233,1804,BUTTS,31-Jul-12,31-Jul-12,,
GA-S-15009,"LMM DIVERSIFIED, INC.",Active,ODUM,201 N MAIN ST ,GA,31555,0,WAYNE,12-Jan-15,12-Jan-15,,
GA-S-20001,"FREE SPIRITS DISTILLERY, LLC",Active,DAWSONVILLE,415  E HIGHWAY 53 ,GA,30534,4017,Dawson,4-Jun-12,4-Jun-12,,
GA-S-20002,STILL POND DISTILLERS L.L.C.,Active,ARLINGTON,1575  STILL POND RD ,GA,39813,5032,CALHOUN,16-Jul-12,16-Jul-12,,
GA-S-20003,"MOONRISE DISTILLERY, INC.",Active,CLAYTON,31  WEBB RD ,GA,30525,0,Rabun,19-Sep-12,19-Sep-12,,
GA-S-20004,"OLD FOURTH DISTILLERY, LTD. CO.",Active,ATLANTA,487  EDGEWOOD AVE ,GA,30312,0,Fulton,12-Aug-13,12-Aug-13,,
GA-S-20005,"DALTON DISTILLERS, LLC",Active,DALTON,109  E MORRIS ST ,GA,30720,0,Whitfield,18-Nov-13,18-Nov-13,,
GA-S-20006,"INDEPENDENT DISTILLING COMPANY, LLC",Active,DECATUR,731  E COLLEGE AVE ,GA,30030,5303,,22-Nov-13,22-Nov-13,,
GA-S-20007,"LAZY GUY BRANDS, INC.",Active,KENNESAW,2950  MOON STATION RD ,GA,30144,0,USA,6-Dec-13,6-Dec-13,,
GA-S-20009,R.M. ROSE COMPANY,Active,DILLARD,890  FRANKLIN ST ,GA,30537,0,RABUN,24-Nov-14,24-Nov-14,,
GA-S-20010,"GREENWOOD ICE CREAM COMPANY, LTD.",Active,ATLANTA,4829  PEACHTREE RD ,GA,30341,0,USA,7-Jan-15,7-Jan-15,,
GA-S-20011,MIDNIGHT RUN DISTILLERY LLC,Active,BARTOW,7859  S 221 HWY ,GA,30413,0,Jefferson,4-Mar-15,4-Mar-15,,
GA-S-20012,"GRANDADDY MIMMS, LLC",Active,BLAIRSVILLE,161  PAPPY'S PLZ ,GA,30512,0,Union,23-Sep-15,23-Sep-15,,
GA-S-20013,HOPE SPRINGS DISTILLERY LLC,Active,LILBURN,4839  RAILROAD AVE ,GA,30047,0,,3-Dec-15,3-Dec-15,,
GA-S-20014,"ASW DISTILLERY, LLC",Active,ATLANTA,"199  ARMOUR DR, NE ",GA,30324,0,Fulton,21-Apr-16,21-Apr-16,,
GA-S-20015,STILLHOUSE CREEK CRAFT DISTILLERIES INC.,Active,DAHLONEGA,2148  TOWN CREEK CHURCH RD ,GA,30533,0,,22-Jul-16,22-Jul-16,,
GA-S-20016,"WILD CREEK DISTILLERY, LLC",Active,PELHAM,1133  WILDER RD ,GA,31779,0,Grady,22-Aug-16,22-Aug-16,,
GA-S-20017,"GHOST COAST DISTILLERY, LLC",Active,SAVANNAH,641  INDIAN ST ,GA,31401,0,Chatham,5-Dec-16,5-Dec-16,,
HI-S-120,"ALOHA DISTILLERS, INC.",Active,HONOLULU,5 SAND ISLAND ACCESS RD ,HI,96819,4905,HONOLULU,10-Mar-88,10-Mar-88,,
HI-S-125,MAUI PROCESS TECHNOLOGIES LLC,Active,MAKAWAO,530A KEALALOA AVE ,HI,96768,0,MAUI,25-Nov-03,25-Nov-03,,
HI-S-126,"KOLANI DISTILLERS, LLC",Active,PAIA,320 BALDWIN AVE ,HI,96779,0,MAUI,2-Apr-04,2-Apr-04,,
HI-S-15000,HAWAII SEA SPIRITS LLC,Active,KULA,4051 OMAOPIO RD ,HI,96790,8828,MAUI,14-Mar-06,14-Mar-06,,
HI-S-15005,KOLOA RUM CORP.,Active,KALAHEO,2-2741 KAUMUALI'I HWY ,HI,96741,8346,KAUAI,28-Jan-16,24-Jan-17,,
HI-S-15007,KOLOA RUM CORP.,Active,LIHUE,3-2087 KAUMUALII HWY ,HI,96766,9573,KAUAI,28-Jan-16,24-Jan-17,,
HI-S-15009,ISLAND DISTILLERS INC.,Active,HONOLULU,577 PAKALA ST ,HI,96825,0,HONOLULU,8-Jan-10,8-Jan-10,,
HI-S-15010,LEVECKE CORPORATION,Active,MAKAWAO,HALIIMAILE BASE YARD ,HI,96768,0,MAUI,19-Oct-10,19-Oct-10,,
HI-S-20001,"HAWAIIAN AGRICULTURAL PRODUCTS, LLC",Active,HALEIWA,66-542 HALEIWA RD ,HI,96712,1525,,30-May-12,30-May-12,,
HI-S-20002,"MANULELE DISTILLERS, LLC",Active,KUNIA,92-1770 KUNIA RD ,HI,96759,9997,Honolulu,27-Aug-12,27-Aug-12,,
HI-S-20003,COMPANY RUM LLC,Active,KAPA'AU,2  LIGHT HOUSE RD ,HI,96755,0,Hawaii,14-Feb-14,14-Feb-14,,
HI-S-20004,"COWBOY BUILT, INC.",Active,HAIKU,1800  KAUPAKALUA RD ,HI,96708,0,,14-Jul-14,14-Jul-14,,
HI-S-20005,LOTUS SPIRITS LLC,Active,HONOLULU,961  AKEO LN ,HI,96819,0,USA,9-Mar-15,9-Mar-15,,
HI-S-20006,RHS LLC,Active,HONOLULU,1210  DILLINGHAM BLVD ,HI,96817,0,Honolulu,24-Jun-16,24-Jun-16,,
IA-S-1,GRAIN PROCESSING CORPORATION,Active,MUSCATINE,1600 OREGON ST ,IA,52761,1404,MUSCATINE,1-Oct-88,1-Oct-88,,
IA-S-15000,"CEDAR RIDGE VINEYARD, LLC",Active,SWISHER,1441 MARAK RD ,IA,52338,9574,JOHNSON,26-Aug-05,29-Sep-05,,
IA-S-15004,"BROADBENT VENTURES, LLC.",Active,NORWALK,6175 50TH AVE ,IA,50211,9052,WARREN,17-Sep-10,17-Sep-10,,
IA-S-15005,"MISSISSIPPI RIVER DISTILLING COMPANY, L.L.C.",Active,LECLAIRE,303 N CODY RD ,IA,52753,0,SCOTT,8-Oct-10,8-Oct-10,,
IA-S-15007,"LSCP, LLLP, LITTLE SIOUX CORN PROCESSORS, LLC (GENERAL PARTNER)",Active,MARCUS,4808 F AVE ,IA,51035,7070,CHEROKEE,9-Aug-11,9-Aug-11,,
IA-S-15010,"SPIRITS, L.C.C.",Active,GRIMES,303 SE 2ND ST ,IA,50111,1167,POLK,29-Dec-11,29-Dec-11,,
IA-S-17,ARCHER DANIELS MIDLAND COMPANY,Active,CLINTON,1251 BEAVER CHANNEL PKWY ,IA,52732,5935,CLINTON,9-Jul-82,9-Jul-82,,
IA-S-20001,DUNKEL CORPORATION,Active,CUMMING,4349  CUMMING AVE ,IA,50061,0,Warren,26-Mar-12,26-Mar-12,,
IA-S-20002,"WERNER DISTILLING, LLC.",Active,HOLSTEIN,5068  110TH ST ,IA,51025,0,Ida,30-Aug-12,30-Aug-12,,
IA-S-20004,"PARADISE DISTILLING COMPANY, LLC",Active,DUBUQUE,245  RAILROAD AVE ,IA,52003,7432,Dubuque,28-Mar-13,28-Mar-13,,
IA-S-20005,HONEY CREEK DISTILLERY LLC,Active,KEOSAUQUA,29538  210TH ST ,IA,52565,0,VanBuren,25-Jun-13,25-Jun-13,,
IA-S-20006,"3-OAKS DISTILLERY, L.L.C.",Active,HOLY CROSS,23039 PFEILER RD ,IA,52053,0,DUBUQUE,11-Jul-13,11-Jul-13,,
IA-S-20007,"CARGILL, INCORPORATED",Active,FORT DODGE,1950  HARVEST AVE ,IA,50501,0,Webster,7-Aug-13,7-Aug-13,,
IA-S-20008,"ARTISAN GRAIN DISTILLERY, LLC",Active,DAVENPORT,318  E 2ND ST ,IA,52801,1702,USA,10-Jun-14,10-Jun-14,,
IA-S-20009,BAD BEAR ENTERPRISES LLC.,Active,CARROLL,707  N MAIN ST ,IA,51401,0,Carroll,8-Dec-14,8-Dec-14,,
IA-S-20010,"VBJ BEVERAGES, L.L.C.",Active,CEDAR RAPIDS,1077  ROCKFORD RD SW,IA,52404,1870,Linn,7-Jul-15,7-Jul-15,,
IA-S-20011,"LONELY OAK DISTILLERY, LLC",Active,EARLING,1833  ELMWOOD RD ,IA,51530,0,,10-Jul-15,10-Jul-15,,
IA-S-20012,"JOHN ERNEST DISTILLERY, INC.",Active,TAMA,3265  N AVE ,IA,52339,0,Tama,23-Nov-15,23-Nov-15,,
IA-S-20013,"DEHNER DISTILLERY, LLC",Active,CLIVE,7500  UNIVERSITY AVE ,IA,50325,0,Polk,9-Mar-16,9-Mar-16,,
IA-S-21,"BARTON SOLVENTS, INC.",Active,BETTENDORF,204 36TH ST ,IA,52722,6468,SCOTT,15-Jan-01,4-Jun-01,,
ID-S-119,"DISTILLED RESOURCES, INCORPORATED",Active,RIGBY,134 N 3300 E,ID,83442,5630,JEFFERSON,21-Mar-90,21-Mar-90,,
ID-S-121,"BARDENAY, INC.",Active,BOISE,610 W GROVE ST ,ID,83702,5926,ADA,9-Dec-99,9-Dec-99,,
ID-S-122,"BARDENAY, INC.",Active,EAGLE,155 E RIVERSIDE ST ,ID,83616,6083,ADA,10-Mar-04,10-Mar-04,,
ID-S-15000,LANTRIX LLC,Active,IDAHO FALLS,2200 GRIZZLY LN ,ID,83402,4807,BONNEVILLE,13-Dec-05,13-Dec-05,,
ID-S-15001,"BARDENAY, INC.",Active,COEUR D ALENE,1710 W RIVERSTONE DR ,ID,83814,0,KOOTENAI,22-Jun-07,22-Jun-07,,
ID-S-15002,"DISTILLED SPIRITS USA, INC.",Active,BOISE,495 S 15TH ST ,ID,83702,0,ADA,9-Jul-10,9-Jul-10,,
ID-S-20001,"GRAND TETON VODKA, INC.",Active,DRIGGS,1755  N 33 HWY ,ID,83422,0,Teton,24-Feb-12,24-Feb-12,,
ID-S-20002,KOENIG DISTILLERY INC.,Active,CALDWELL,20928  GRAPE LN ,ID,83607,9578,Canyon,26-Mar-12,26-Mar-12,,
ID-S-20004,8FEATHERSDISTILLERY LLC,Active,BOISE,272  N MAPLE GROVE RD ,ID,83704,0,Unites States,28-Oct-13,28-Oct-13,,
ID-S-20006,"MILL TOWN DISTILLERY, LLC",Active,SANDPOINT,22821  HIGHWAY 2 ,ID,83864,6309,Bonner,19-May-14,19-May-14,,
ID-S-20007,IDAHO BOURBON DISTILLERS LLC,Active,BOISE,2762  FEATHERLY WAY ,ID,83709,0,Ada,3-Jul-14,3-Jul-14,,
ID-S-20008,PRINTER'S DISTILLERY LLC,Active,LEWISTON,"1708  6TH AVE, N ",ID,83501,5788,Nez Perce,19-Feb-15,19-Feb-15,,
ID-S-20009,"STEVE OAKES, LLC",Active,PRIEST RIVER,1278  HOODOO MOUNTAIN RD ,ID,83856,0,Bonner,2-Apr-15,2-Apr-15,,
ID-S-20010,WARFIELD DISTILLERY LLC,Active,KETCHUM,280  MAIN ST ,ID,83340,0,,20-May-15,20-May-15,,
ID-S-20011,"UP NORTH DISTILLERY, LLC",Active,POST FALLS,846  N BOULDER CT ,ID,83854,0,Kootenai,19-Aug-15,19-Aug-15,,
ID-S-20012,OLD FLATBED DISTILLERY LLC,Active,MERIDIAN,741  N RALSTIN ST ,ID,83642,0,Ada,11-Feb-16,11-Feb-16,,
IL-S-15001,ARCHER DANIELS MIDLAND COMPANY,Active,PEORIA,1 EDMUND ST ,IL,61602,1737,PEORIA,1-Jan-05,17-Feb-05,,
IL-S-15002,"NORTH SHORE DISTILLERY, LLC",Active,GREEN OAKS,13990 ROCKLAND RD ,IL,60048,9724,LAKE,17-Aug-05,17-Aug-05,,
IL-S-15007,KOVAL INC.,Active,CHICAGO,5121 N RAVENSWOOD AVE ,IL,60640,2712,COOK,14-Oct-08,14-Oct-08,,
IL-S-15008,ANTHONY'S OWN INC.,Active,CHICAGO,2021 W FULTON ST ,IL,60612,0,COOK,4-Mar-09,4-Mar-09,,
IL-S-15010,"ILLINOIS CORN PROCESSING, LLC",Active,PEKIN MALL,1301 S FRONT ST ,IL,61554,4065,TAZEWELL,1-Feb-12,18-Jul-12,,
IL-S-15015,"FEW SPIRITS, LLC",Active,EVANSTON,918 CHICAGO AVE ,IL,60202,0,COOK,4-Nov-16,4-Nov-16,,
IL-S-15016,"MASTERMIND VODKA, INC.",Active,PONTOON BEACH,4262 STATE HWY 162 ,IL,62040,0,MADISON,15-Feb-11,15-Feb-11,,
IL-S-15018,"PREMIERE DISTILLERY, LLC",Active,GURNEE,1503 ST. PAUL AVE ,IL,60031,2146,LAKE,24-Jun-11,24-Jun-11,,
IL-S-15019,"LET THERE BE! DISTILLERS, LLC",Active,CHICAGO,1801-15 W BERTEAU AVE ,IL,60613,1816,COOK,29-Jun-11,29-Jun-11,,
IL-S-15020,"CELLO VIA, INC",Active,WHEELING,300 MARQUARDT DR ,IL,60090,6425,COOK,17-Aug-11,17-Aug-11,,
IL-S-15021,"TAILWINDS DISTILLING, LLC",Active,PLAINFIELD,14912 S EASTERN AVE ,IL,60544,0,WILL,8-Feb-12,8-Feb-12,,
IL-S-15022,"WATA, LLC",Active,GRANITE CITY,2101 ADAMS ST ,IL,62040,0,MADISON,20-Sep-13,20-Sep-13,,
IL-S-15024,BLACKSTONE SPIRITS LLC,Active,THORNTON,400  E MARGARET ST ,IL,60476,0,COOK,2-Mar-16,2-Mar-16,,
IL-S-20001,"BLUE STAR POTABLES, LLC",Active,RIVERSIDE,39  E QUINCY ST ,IL,60546,2128,Cook,1-Mar-12,1-Mar-12,,
IL-S-20002,"MID-OAK DISTILLERY, INC.",Active,CRESTWOOD,4330  W MIDLOTHIAN TPKE ,IL,60445,0,Cook,12-Mar-12,12-Mar-12,,
IL-S-20003,"SOUTHERN SISTERS SPIRITS, LLC",Active,CARBONDALE,428  WOOD RD ,IL,62901,0,Jackson,30-Mar-12,30-Mar-12,,
IL-S-20004,"WINDY CITY DISTILLING, INC.",Active,WHEELING,140  SHEPARD AVE ,IL,60090,6072,Cook,31-Jan-13,31-Jan-13,,
IL-S-20005,"J.K. WILLIAMS DISTILLING, LLC",Active,EAST PEORIA,526  HIGH POINT LN ,IL,61611,0,Tazewell,14-Mar-13,14-Mar-13,,
IL-S-20006,BETTER DAYS DISTILLING L.L.C.,Active,TILTON,8  S HODGE ST ,IL,61833,7609,Vermilion,26-Apr-13,26-Apr-13,,
IL-S-20007,773 LLC,Active,CHICAGO,564  W RANDOLPH ST ,IL,60661,0,COOK,23-May-13,23-May-13,,
IL-S-20008,SOLBERG DISTILLING LLC,Active,CHICAGO,2010  W FULTON ST ,IL,60612,2359,USA,18-Jun-13,18-Jun-13,,
IL-S-20009,"CHICAGO DISTILLING COMPANY, LLC",Active,CHICAGO,2359  N MILWAUKEE AVE ,IL,60647,0,Cook,1-Jul-13,1-Jul-13,,
IL-S-20010,"BLAUM BROS. DISTILLING CO., LLC",Active,GALENA,9380  US HIGHWAY 20 ,IL,61036,9172,Jo Daviies,2-Jul-13,2-Jul-13,,
IL-S-20011,"COPPER FIDDLE DISTILLERY, LLC",Active,LAKE ZURICH,532  W IL ROUTE 22 ,IL,60047,2550,Lake,8-Aug-13,8-Aug-13,,
IL-S-20012,COPPER RIDGE DISTILLERY LLC,Active,DANVILLE,4009  E MAIN ST ,IL,61834,5897,Vermilion,29-Oct-13,29-Oct-13,,
IL-S-20013,FOX RIVER DISTILLING COMPANY,Active,GENEVA,204  DEARBORN CT ,IL,60134,0,Kane,10-Jan-14,10-Jan-14,,
IL-S-20014,PODHALANSKA LLC,Active,LEMONT,16135  NEW AVE ,IL,60439,2607,Cook,13-Feb-14,13-Feb-14,,
