PERMIT_NUMBER,OWNER_NAME,STATUS_CODE,CITY,STREET,STATE,ZIP,ZIP4,COUNTY,PERMIT_EFFECTIVE_DATE,PERMIT_ISSUE_DATE
NY-S-15039,BARON NAHMIAS INC.,Active,YONKERS,201 SAW MILL RIVER RD ,NY,10701,5711,WESTCHESTER,27-May-11,27-May-11
NY-S-15040,HILLROCK LLC,Active,ANCRAM,408 POOLES HILL RD ,NY,12502,5410,COLUMBIA,15-Aug-11,15-Aug-11
NY-S-15041,"CACAO PRIETO, LLC",Active,BROOKLYN,218 CONOVER ST ,NY,11231,1119,KINGS,26-Oct-11,26-Oct-11
NY-S-15042,"SHINN WINERY, LLC",Active,MATTITUCK,2000 OREGON RD ,NY,11952,1762,SUFFOLK,11-Jul-11,11-Jul-11
NY-S-15043,GREEN FARMS II LLC,Active,BROOKLYN,208 DUPONT ST ,NY,11222,1241,KINGS,24-Aug-11,24-Aug-11
NY-S-15044,"THE ALBANY DISTILLING COMPANY, INC.",Active,ALBANY,78 MONTGOMERY ST ,NY,12207,0,ALBANY,11-Oct-11,11-Oct-11
NY-S-15045,FOUR BROTHERS DISTILLING COMPANY LLC,Active,NORTH BRANCH,394 N BRANCH CALLICOON CENTER RD ,NY,12766,0,SULLIVAN,3-Nov-11,3-Nov-11
NY-S-15046,PORT MORRIS DISTILLERY INC.,Active,BRONX,780 E 133RD ST ,NY,10454,3503,BRONX,7-Mar-12,7-Mar-12
NY-S-15047,VAN BRUNT STILLHOUSE LLC,Active,BROOKLYN,6 BAY ST ,NY,11231,0,KINGS,9-Dec-11,9-Dec-11
NY-S-15048,"PLOW & FIDDLE SPIRITS, LLC",Active,OVID,7350 STATE ROUTE 89 ,NY,14521,9559,SENECA,16-Apr-12,16-Apr-12
NY-S-15049,JACKFROMBROOKLYN INCORPORATED,Active,BROOKLYN,177 DWIGHT ST ,NY,11231,1549,KINGS,15-Feb-12,15-Feb-12
NY-S-15051,"COPPERSEA DISTILLING, LLC",Active,NEW PALTZ,239 SPRINGTOWN RD ,NY,12561,0,ULSTER,24-Jul-12,24-Jul-12
NY-S-15052,"SOUTHERN TIER DISTILLING, LLC",Active,LAKEWOOD,2051 A STONEMAN CIR ,NY,14750,0,CHAUTAUQUA,1-Oct-12,1-Oct-12
NY-S-20001,INDUSTRY CITY DISTILLERY INC.,Active,BROOKLYN,33 35TH ST ,NY,11232,2210,USA,16-Dec-11,16-Dec-11
NY-S-20002,"THE NOBLE EXPERIMENT NYC, LLC",Active,BROOKLYN,23  MEADOW ST ,NY,11206,1710,KINGS,24-Feb-12,24-Feb-12
NY-S-20003,THE ADIRONDACK DISTILLING COMPANY INC.,Active,UTICA,601  VARICK ST ,NY,13502,0,Oneida,12-Mar-12,12-Mar-12
NY-S-20004,O'BEGLEYS LLC,Active,PITTSFORD,A1 COUNTRY CLUB RD ,NY,14534,0,MONROE,19-Mar-12,19-Mar-12
NY-S-20005,"CELK DISTILLING, LLC",Active,WILLIAMSON,3274 EDDY RD ,NY,14589,0,WAYNE,8-Jun-12,8-Jun-12
NY-S-20006,HOMETOWN BREW LLC,Active,ROCHESTER,850 N SAINT PAUL ST ,NY,14605,1065,US,6-Jul-12,6-Jul-12
NY-S-20007,"PROOF OF CONCEPT, LLC",Active,BROOKLYN,67  35TH ST ,NY,11232,0,Kings,13-Aug-12,13-Aug-12
NY-S-20008,FREDERICK AND FLORENCE LUCKEY,Active,GREENWICH,112  MOUNTAIN RD ,NY,12834,7802,Washington,14-Aug-12,14-Aug-12
NY-S-20009,JONATHAN ROSEMYER,Active,FORT PLAIN,55  WILLETT ST ,NY,13339,0,Montgomery,17-Aug-12,17-Aug-12
NY-S-251,"SHLOIME'S SLIVOVITZ, INC.",Active,MONROE,18 QUICKWAY RD ,NY,10950,3811,ORANGE,14-Nov-89,2-Mar-90
NY-S-252,"O-AT-KA MILK PRODUCTS COOPERATIVE, INC.",Active,BATAVIA,4815 ELLICOTT ST ,NY,14020,3409,GENESEE,22-Feb-94,22-Feb-94
NY-S-253,"KNAPP FARMS, INC.",Active,ROMULUS,2770 COUNTY ROAD 128  ,NY,14541,0,SENECA,16-Mar-05,16-Mar-05
NY-S-256,ALLIED WINE CORP.,Active,ELLENVILLE,70 BERME RD ,NY,12428,0,ULSTER,18-Dec-98,14-Jan-99
NY-S-7,"WARWICK VALLEY WINE CO., INC.",Active,WARWICK,114 LITTLE YORK RD ,NY,10990,2231,ORANGE,30-Apr-04,19-Sep-03
OH-S-15000,"SHARP INDUSTRIAL TOOLS, INC.",Active,MARTINSVILLE,414 CEMETARY RD ,OH,45146,9654,CLINTON,2-Oct-06,2-Oct-06
OH-S-15001,WOEBER MUSTARD MANUFACTURING COMPANY,Active,SPRINGFIELD,1966 COMMERCE CIR ,OH,45504,2012,CLARK,24-Jul-07,24-Jul-07
OH-S-15008,"TOMSFOOLERY, LLC",Active,CHAGRIN FALLS,7150 COUNTRY  LN ,OH,44023,1302,GEAUGA,27-Oct-08,27-Oct-08
OH-S-15009,BUCKEYE DISTILLERY INC.,Active,TIPP CITY,130 W PLUM ST ,OH,45371,1843,MIAMI,31-Dec-09,31-Dec-09
OH-S-15010,"VERIANO FINE FOODS & SPIRITS, LTD",Active,NEW ALBANY,5775 ZARLEY ST ,OH,43054,9282,FRANKLIN,3-May-10,3-May-10
OH-S-15012,"MIDDLE WEST SPIRITS, LLC",Active,COLUMBUS,1230 COURTLAND AVE ,OH,43201,2829,FRANKLIN,25-Feb-10,25-Feb-10
OH-S-15013,WATERSHED DISTILLERY LLC,Active,COLUMBUS,1145 CHESAPEAKE AVE ,OH,43212,2284,FRANKLIN,1-Sep-10,1-Sep-10
OH-S-15014,SEVEN BROTHERS DISTILLING COMPANY,Active,PAINESVILLE,7755 BRAKEMAN RD ,OH,44077,8879,LAKE,13-Dec-10,13-Dec-10
OH-S-15015,"CRYSTAL SPIRITS, LLC",Active,DAYTON,827 S PATTERSON BLVD ,OH,45402,2622,MONTGOMERY,12-Jan-11,12-Jan-11
OH-S-15016,"DANCING TREE, LLC",Active,SHADE,41625 BEARWALLOW RIDGE RD ,OH,45776,9545,ATHENS,9-May-11,9-May-11
OH-S-15018,"S AND G ARTISAN DISTILLERY, LLC",Active,YELLOW SPRINGS,305 N WALNUT ST ,OH,45387,0,GREENE,29-Sep-11,29-Sep-11
OH-S-15019,FLAT ROCK SPIRITS LLC,Active,FAIRBORN,5380 INTRASTATE DR ,OH,45324,6163,GREENE,2-Nov-11,2-Nov-11
OH-S-15020,"SOUTH RIVER VINEYARD, INC.",Active,GENEVA,6202 S RIVER RD ,OH,44041,9398,ASHTABULA,5-Mar-12,5-Mar-12
OH-S-15021,"ERNEST A SCARANO, JR.",Active,FREMONT,4487 STATE ROUTE 6 (HAYES AVE) ,OH,43420,0,SANDUSKY,30-Mar-12,30-Mar-12
OH-S-15022,INDIAN CREEK DISTILLERY LLC,Active,NEW CARLISLE,7095 STALEY RD ,OH,45344,9416,CLARK,25-May-12,25-May-12
OH-S-15023,"WOLF CREEK VINEYARDS, INC.",Active,NORTON,2637 CLEVELAND MASSILLON RD ,OH,44203,6417,SUMMIT,26-Apr-12,26-Apr-12
OH-S-15024,"MEIER'S WINE CELLARS, INC.",Active,SILVERTON,6955  PLAINFIELD  RD ,OH,45236,3733,HAMILTON,1-Jan-13,1-Jan-13
OH-S-20001,CLEVELAND WHISKEY LLC,Active,CLEVELAND,1768  E 25TH ST ,OH,44114,4418,Cuyahoga,13-Mar-12,13-Mar-12
