GEO_ID,NAME,H002001,H002002,H002003,H002004,H002005
id,Geographic Area Name,Total,Total!!Urban,Total!!Urban!!Inside urbanized areas,Total!!Urban!!Inside urban clusters,Total!!Rural
0500000US01107,"Pickens County, Alabama",9483,0,0,0,9483
0500000US01109,"Pike County, Alabama",15267,6869,0,6869,8398
0500000US01111,"Randolph County, Alabama",11982,2054,0,2054,9928
0500000US01113,"Russell County, Alabama",24595,15945,15945,0,8650
0500000US01127,"Walker County, Alabama",30816,7801,0,7801,23015
0500000US01117,"Shelby County, Alabama",80970,61391,60579,812,19579
0500000US01119,"Sumter County, Alabama",6786,0,0,0,6786
0500000US01121,"Talladega County, Alabama",37088,15765,1912,13853,21323
0500000US01123,"Tallapoosa County, Alabama",22111,4958,0,4958,17153
0500000US01125,"Tuscaloosa County, Alabama",84872,63642,61509,2133,21230
0500000US02090,"Fairbanks North Star Borough, Alaska",41783,26888,25869,1019,14895
0500000US01129,"Washington County, Alabama",8407,0,0,0,8407
0500000US01131,"Wilcox County, Alabama",5649,0,0,0,5649
0500000US01133,"Winston County, Alabama",13469,1852,0,1852,11617
0500000US02013,"Aleutians East Borough, Alaska",747,0,0,0,747
0500000US02016,"Aleutians West Census Area, Alaska",1929,0,0,0,1929
0500000US02068,"Denali Borough, Alaska",1771,0,0,0,1771
0500000US02070,"Dillingham Census Area, Alaska",2427,0,0,0,2427
0500000US02060,"Bristol Bay Borough, Alaska",969,0,0,0,969
0500000US08023,"Costilla County, Colorado",2613,0,0,0,2613
0500000US08025,"Crowley County, Colorado",1559,0,0,0,1559
0500000US08027,"Custer County, Colorado",3956,0,0,0,3956
0500000US08029,"Delta County, Colorado",14572,5118,0,5118,9454
0500000US08031,"Denver County, Colorado",285797(r16091),285797,285797,0,0
0500000US08035,"Douglas County, Colorado",106859,94892,91877,3015,11967
0500000US08033,"Dolores County, Colorado",1468,0,0,0,1468
0500000US08049,"Grand County, Colorado",16061,3796,0,3796,12265
0500000US08039,"Elbert County, Colorado",8939,0,0,0,8939
0500000US08041,"El Paso County, Colorado",252852,231176,229689,1487,21676
0500000US08043,"Fremont County, Colorado",19242,12440,0,12440,6802
0500000US08045,"Garfield County, Colorado",23309,17380,0,17380,5929
0500000US08047,"Gilpin County, Colorado",3560,0,0,0,3560
0500000US08069,"Larimer County, Colorado",132722,112546,105417,7129,20176
0500000US08051,"Gunnison County, Colorado",11412,2974,0,2974,8438
0500000US08053,"Hinsdale County, Colorado",1388,0,0,0,1388
0500000US08055,"Huerfano County, Colorado",5075,1677,0,1677,3398
0500000US08057,"Jackson County, Colorado",1286,0,0,0,1286
0500000US08059,"Jefferson County, Colorado",229967,212888,206942,5946,17079
0500000US08061,"Kiowa County, Colorado",805,0,0,0,805
0500000US08063,"Kit Carson County, Colorado",3527,1480,0,1480,2047
0500000US08065,"Lake County, Colorado",4271,2749,0,2749,1522
0500000US08071,"Las Animas County, Colorado",8217,4407,0,4407,3810
0500000US08067,"La Plata County, Colorado",25860,9438,0,9438,16422
0500000US08087,"Morgan County, Colorado",11490,7451,0,7451,4039
0500000US08073,"Lincoln County, Colorado",2420,0,0,0,2420
0500000US08075,"Logan County, Colorado",8981,5963,0,5963,3018
0500000US08077,"Mesa County, Colorado",62644,54388,54388,0,8256
0500000US08079,"Mineral County, Colorado",1201,0,0,0,1201
0500000US08081,"Moffat County, Colorado",6196,4272,0,4272,1924
0500000US08083,"Montezuma County, Colorado",12094,3781,0,3781,8313
0500000US08085,"Montrose County, Colorado",18250,10001,0,10001,8249
0500000US08099,"Prowers County, Colorado",5942,3647,0,3647,2295
0500000US08089,"Otero County, Colorado",8969,5904,0,5904,3065
0500000US08091,"Ouray County, Colorado",3083,0,0,0,3083
0500000US08093,"Park County, Colorado",13947,0,0,0,13947
0500000US08095,"Phillips County, Colorado",2087,0,0,0,2087
0500000US08097,"Pitkin County, Colorado",12953,7289,0,7289,5664
0500000US08111,"San Juan County, Colorado",756,0,0,0,756
0500000US08107,"Routt County, Colorado",16303,9228,0,9228,7075
0500000US08109,"Saguache County, Colorado",3843,0,0,0,3843
0500000US08101,"Pueblo County, Colorado",69526,59538,59538,0,9988
0500000US08103,"Rio Blanco County, Colorado",3309,0,0,0,3309
0500000US08105,"Rio Grande County, Colorado",6630,1974,0,1974,4656
0500000US09001,"Fairfield County, Connecticut",361221,344681,344681,0,16540
0500000US08113,"San Miguel County, Colorado",6638,0,0,0,6638
0500000US08115,"Sedgwick County, Colorado",1415,0,0,0,1415
0500000US08117,"Summit County, Colorado",29842,22063,0,22063,7779
0500000US08119,"Teller County, Colorado",12643,3858,0,3858,8785
0500000US08121,"Washington County, Colorado",2434,0,0,0,2434
0500000US08123,"Weld County, Colorado",96281,75783,56178,19605,20498
0500000US08125,"Yuma County, Colorado",4466,1492,0,1492,2974
0500000US09005,"Litchfield County, Connecticut",87550,48996,27917,21079,38554
0500000US09003,"Hartford County, Connecticut",374249,355628,355598,30,18621
0500000US09007,"Middlesex County, Connecticut",74837,57951,52119,5832,16886
0500000US09015,"Windham County, Connecticut",49073,24554,14518,10036,24519
0500000US10001,"Kent County, Delaware",65338,47570,43120,4450,17768
0500000US09009,"New Haven County, Connecticut",362004,349968,349968,0,12036
0500000US09011,"New London County, Connecticut",120994,91754,85450,6304,29240
0500000US09013,"Tolland County, Connecticut",57963,35009,29110,5899,22954
0500000US10005,"Sussex County, Delaware",123036,83557,10206,73351,39479
0500000US11001,"District of Columbia, District of Columbia",296719(r16188),296719,296719,0,0
0500000US10003,"New Castle County, Delaware",217511,207984,197863,10121,9527
0500000US12009,"Brevard County, Florida",269864,256460,256460,0,13404
0500000US12015,"Charlotte County, Florida",100632,91710,90980,730,8922
0500000US12001,"Alachua County, Florida",112766,89120,85930,3190,23646
0500000US12005,"Bay County, Florida",99650,88093,86042,2051,11557
0500000US12007,"Bradford County, Florida",11011,3142,0,3142,7869
0500000US12011,"Broward County, Florida",810388,810243,810243,0,145
0500000US12027,"DeSoto County, Florida",14590,8365,1009,7356,6225
0500000US12003,"Baker County, Florida",9687,3973,0,3973,5714
0500000US12013,"Calhoun County, Florida",5999,1349,0,1349,4650
0500000US12017,"Citrus County, Florida",78026,50726,42686,8040,27300
0500000US12019,"Clay County, Florida",75478,63230,60806,2424,12248
0500000US12021,"Collier County, Florida",197298,183084,172412,10672,14214
0500000US12029,"Dixie County, Florida",9319,1148,0,1148,8171
0500000US12023,"Columbia County, Florida",28636,10073,0,10073,18563
0500000US12041,"Gilchrist County, Florida",7307,727,0,727,6580
0500000US12031,"Duval County, Florida",388486,378602,378602,0,9884
0500000US12033,"Escambia County, Florida",136703,123124,122636,488,13579
0500000US12035,"Flagler County, Florida",48595,43475,43475,0,5120
0500000US12037,"Franklin County, Florida",8652,2095,0,2095,6557
0500000US12039,"Gadsden County, Florida",19506,6153,267,5886,13353
0500000US12057,"Hillsborough County, Florida",536092,519026,519026,0,17066
0500000US12043,"Glades County, Florida",6979,1360,0,1360,5619
0500000US12045,"Gulf County, Florida",9110,1852,0,1852,7258
0500000US12047,"Hamilton County, Florida",5778,1220,0,1220,4558
0500000US12049,"Hardee County, Florida",9722,4943,0,4943,4779
0500000US12051,"Hendry County, Florida",14564,8959,0,8959,5605
0500000US12053,"Hernando County, Florida",84504,67410,65997,1413,17094
0500000US12055,"Highlands County, Florida",55386,43200,33936,9264,12186
0500000US12069,"Lake County, Florida",144996,118767,112695,6072,26229
0500000US12065,"Jefferson County, Florida",6632,0,0,0,6632
0500000US12067,"Lafayette County, Florida",3328,0,0,0,3328
0500000US12059,"Holmes County, Florida",8641,1268,0,1268,7373
0500000US12061,"Indian River County, Florida",76346,73144,71701,1443,3202
0500000US12063,"Jackson County, Florida",21003,3937,0,3937,17066
0500000US12085,"Martin County, Florida",78131,72907,71064,1843,5224
0500000US12071,"Lee County, Florida",371099,346998,344937,2061,24101
0500000US12073,"Leon County, Florida",124136,109578,108657,921,14558
0500000US12075,"Levy County, Florida",20123,1339,0,1339,18784
0500000US12077,"Liberty County, Florida",3357,0,0,0,3357
0500000US12079,"Madison County, Florida",8481,1751,0,1751,6730
0500000US12081,"Manatee County, Florida",172690,165796,165796,0,6894
0500000US12083,"Marion County, Florida",164050,113948,101315,12633,50102
0500000US12101,"Pasco County, Florida",228928,209503,209497,6,19425
0500000US12086,"Miami-Dade County, Florida",989435(r17101),985898,985898,0,3537
0500000US12087,"Monroe County, Florida",52764,46518,0,46518,6246
0500000US12089,"Nassau County, Florida",35009,20219,0,20219,14790
0500000US12097,"Osceola County, Florida",128170,108932,95488,13444,19238
0500000US12099,"Palm Beach County, Florida",664594,658550,644132,14418,6044
0500000US12091,"Okaloosa County, Florida",92407,83095,69641,13454,9312
0500000US12093,"Okeechobee County, Florida",18509,11854,0,11854,6655
0500000US12095,"Orange County, Florida",487839,478345,475511,2834,9494
0500000US12117,"Seminole County, Florida",181307,176132,176132,0,5175
0500000US12103,"Pinellas County, Florida",503634,502361,502361,0,1273
0500000US12105,"Polk County, Florida",281214,241048,209026,32022,40166
