Predictor,V Weight
One.race_Black.or.African.American,0.225
Hispanic.or.Latino.of.any.race,0.165
Median.nonfamily.income.dollars,0.006
Male_Ed_Some_College_Or_Associates,0.026
Rural,0.184
total_votes_x,0
republican_vote_percent_x,0.395
