Predictor,V Weight
One race Black or African American,0.661
Hispanic or Latino of any race,0.109
Median nonfamily income dollars,0.008
Male Ed Some College Or Associates,0.053
Rural,0.027
total votes x,0.14
republican vote percent x,0.002
