County,W Weight,Unit Number
"Boone County, Indiana",0.000,171
"Boone County, Iowa",0.000,172
"Boone County, Kentucky",0.000,173
"Boone County, Nebraska",0.000,174
"Boone County, West Virginia",0.000,175
"Bossier Parish, Louisiana",0.000,176
"Botetourt County, Virginia",0.000,177
"Bottineau County, North Dakota",0.000,178
"Boulder County, Colorado",0.000,179
"Bourbon County, Kentucky",0.000,180
"Bowman County, North Dakota",0.000,181
"Box Butte County, Nebraska",0.000,182
"Box Elder County, Utah",0.000,183
"Boyd County, Kentucky",0.000,184
"Boyd County, Nebraska",0.000,185
"Boyle County, Kentucky",0.000,186
"Bracken County, Kentucky",0.000,187
"Bradford County, Florida",0.000,188
"Bradford County, Pennsylvania",0.000,189
"Bradley County, Arkansas",0.000,190
"Bradley County, Tennessee",0.000,191
"Branch County, Michigan",0.000,192
"Brantley County, Georgia",0.000,193
"Braxton County, West Virginia",0.000,194
"Breathitt County, Kentucky",0.000,195
"Breckinridge County, Kentucky",0.000,196
"Bremer County, Iowa",0.000,197
"Brevard County, Florida",0.000,198
"Bristol County, Massachusetts",0.000,199
"Bristol County, Rhode Island",0.000,200
"Bristol city, Virginia",0.000,201
"Broadwater County, Montana",0.000,202
"Bronx County, New York",0.000,203
"Brooke County, West Virginia",0.000,204
"Brookings County, South Dakota",0.000,205
"Brooks County, Georgia",0.000,206
"Broome County, New York",0.000,207
"Broomfield County, Colorado",0.000,208
"Broward County, Florida",0.000,209
"Brown County, Indiana",0.000,210
"Brown County, Minnesota",0.000,211
"Brown County, Nebraska",0.000,212
"Brown County, Ohio",0.000,213
"Brown County, South Dakota",0.000,214
"Brown County, Wisconsin",0.000,215
"Brule County, South Dakota",0.000,216
"Brunswick County, North Carolina",0.000,217
"Brunswick County, Virginia",0.000,218
"Bryan County, Georgia",0.000,219
"Bryan County, Oklahoma",0.000,220
"Buchanan County, Iowa",0.000,221
"Buchanan County, Virginia",0.000,222
"Buckingham County, Virginia",0.000,223
"Bucks County, Pennsylvania",0.000,224
"Buena Vista County, Iowa",0.000,225
"Buena Vista city, Virginia",0.000,226
"Buffalo County, Nebraska",0.000,227
"Buffalo County, South Dakota",0.000,228
"Buffalo County, Wisconsin",0.000,229
"Bullitt County, Kentucky",0.000,230
"Bulloch County, Georgia",0.000,231
"Bullock County, Alabama",0.000,232
"Buncombe County, North Carolina",0.000,233
"Burke County, Georgia",0.000,234
"Burke County, North Carolina",0.000,235
"Burke County, North Dakota",0.000,236
"Burleigh County, North Dakota",0.000,237
"Burlington County, New Jersey",0.000,238
"Burnett County, Wisconsin",0.000,239
"Burt County, Nebraska",0.000,240
"Butler County, Alabama",0.000,241
"Butler County, Iowa",0.000,242
"Butler County, Kentucky",0.000,243
"Butler County, Nebraska",0.000,244
"Butler County, Ohio",0.000,245
"Butler County, Pennsylvania",0.000,246
"Butte County, South Dakota",0.000,247
"Butts County, Georgia",0.000,248
"Cabarrus County, North Carolina",0.000,249
"Cabell County, West Virginia",0.000,250
"Cache County, Utah",0.000,251
"Caddo County, Oklahoma",0.000,252
"Caddo Parish, Louisiana",0.000,253
"Calcasieu Parish, Louisiana",0.000,254
"Caldwell County, Kentucky",0.000,255
"Caldwell County, North Carolina",0.000,256
"Caldwell Parish, Louisiana",0.000,257
"Caledonia County, Vermont",0.000,258
"Calhoun County, Alabama",0.000,259
"Calhoun County, Arkansas",0.000,260
"Calhoun County, Florida",0.000,261
"Calhoun County, Georgia",0.000,262
"Calhoun County, Iowa",0.000,263
"Calhoun County, Michigan",0.000,264
"Calhoun County, Mississippi",0.000,265
