Predictor,V Weight
One.race_Black.or.African.American,0.004
Hispanic.or.Latino.of.any.race,0.447
Median.nonfamily.income.dollars,0.001
Male_Ed_Some_College_Or_Associates,0.42
Rural,0.034
total_votes_x,0.094
republican_vote_percent_x,0
