state,county,cz,czname,hhinc_mean2000,mean_commutetime2000,frac_coll_plus2000,frac_coll_plus2010,foreign_share2010,med_hhinc1990,med_hhinc2016,poor_share2010,poor_share2000,poor_share1990,share_white2010,share_black2010,share_hisp2010,share_asian2010,share_black2000,share_white2000,share_hisp2000,share_asian2000,gsmn_math_g3_2013,rent_twobed2015,singleparent_share2010,singleparent_share1990,singleparent_share2000,traveltime15_2010,emp2000,mail_return_rate2010,ln_wage_growth_hs_grad,popdensity2010,popdensity2000,ann_avg_job_growth_2004_2013,job_density_2013
40,97,30402,Tulsa,57343.91,27.188448,.1218964,.11786768,.0059907869,21587.8883191409,43499.34634867544,.16839294,.14192863,.18509042,.6687026,.0069802953,.026588138,.0024883461,.004409316,.71511674,.018777607,.0026485054,3.2949579,601.59814,.25261378,.15123416,.2361462,.35055241,.56317133,73.128395,.16203023,62.953835,58.544212,.015971947,27.104679
40,99,33700,Ardmore,55709.57,21.809942,.14932998,.13331543,.025549348,18863.13709858638,52051.23695136418,.15544266,.14087886,.21655184,.75926751,.018460855,.049080662,.002984134,.021240968,.79196692,.031521875,.0025484825,3.5538316,598.43719,.28273147,.18890291,.26167628,.42775232,.55647737,75.767387,,32.387421,30.310379,-.0010962242,14.764995
40,101,30200,Muskogee,55712.52,22.918186,.1528582,.17475648,.027775202,21621.08860570286,43234.6344837301,.19119269,.17670541,.21440978,.58264542,.13032821,.05195098,.0049099815,.13767625,.63111365,.026497409,.0054227575,3.4251933,624.95752,.38689402,.24314977,.30758464,.45130694,.50937295,74.961189,.18829797,87.593529,85.69458,.0044766529,34.289677
40,103,30401,Stillwater,61205.195,20.102177,.15710671,.17637055,.0029336005,23304.86441413238,47800.75659545022,.13433871,.12790972,.16837773,.83262694,.022835394,.025949312,.0034671165,.0175709,.85552031,.018087771,.0026587304,3.6556239,494.41159,.25989744,.15892021,.21669683,.4205924,.60308248,76.494965,.19190775,15.795982,15.591035,.0040521836,7.1485667
40,105,29403,Bartlesville,53496.766,28.818245,.095591612,.12581791,.0090165744,19026.94085774421,41563.12528473804,.17716765,.13959102,.20404431,.6784358,.033124525,.022779044,.0010398099,.028578367,.71910727,.012334532,.0013650233,3.4543808,660.65271,.37681165,.16405261,.26346755,.37838686,.5594328,80.07386,,18.622177,18.680506,-.0027314436,7.943059
40,107,30403,Okmulgee,47229.5,28.336576,.093320049,.11188323,.024912396,15678.40139410924,37124.11131162333,.24752362,.22898032,.2897734,.63153148,.092609301,.029201871,.0014764991,.1107006,.64881009,.016456138,.00085592753,2.8412025,479.12576,.29887319,.22931339,.2718153,.40064251,.44734263,69.794853,,19.708454,19.098982,-.0018481739,6.6443892
40,109,33803,Oklahoma City,71610.391,22.254396,.26298228,.27760154,.097643681,29905.32161839256,53629.70466417235,.16869491,.14597891,.13580205,.59250134,.16922686,.15104094,.024824711,.14841004,.68445784,.083744451,.023961717,2.9517064,783.64667,.37133479,.26280132,.33972076,.30930609,.60640264,76.141808,.10788159,1013.8413,931.75439,.011567135,494.80264
40,111,30403,Okmulgee,52980.289,29.172544,.11382307,.13488175,.0077446373,18150.47394471998,40696.82050962091,.20299476,.18763955,.23380569,.64396417,.10569268,.032269336,.0032906684,.11066131,.69097507,.019378273,.0017411843,3.2127705,578.78937,.34613508,.26034155,.31082359,.39058289,.52101916,75.315681,.17907487,57.459198,56.908539,-.0043364745,21.534473
40,113,30402,Tulsa,63558.035,27.167112,.14925535,.17990726,.010884716,25025.73515513104,46468.159483485,.13052468,.12974516,.15360773,.64688659,.1240942,.028774858,.0023502575,.11386766,.66263676,.021059601,.0019255534,3.1579974,588.54803,.29166254,.18348147,.24980973,.35051754,.56995904,76.381485,,21.132854,19.78178,.0025064698,8.8520985
40,115,29901,Joplin,50823.254,22.174006,.1247509,.13072425,.023187703,18019.50209926514,37687.64785857825,.18250583,.16382785,.19839592,.67363727,.011272294,.047067318,.0034832484,.0077995216,.7297039,.03162273,.0027653212,3.7093801,631.43738,.36558312,.21195951,.2790764,.43584949,.55147648,73.475189,,67.643684,70.502525,-.012779431,27.622021
40,117,30402,Tulsa,57917.699,31.938404,.12001139,.15642472,.010999741,21805.62494420943,45918.31163660494,.18404597,.13058493,.17206228,.7972492,.01272848,.020269047,.0023660627,.0098419636,.81746465,.011539755,.0021071774,2.6224782,642.54333,.38462007,.15167658,.21537258,.34015429,.56977022,71.292603,.19763845,29.187172,29.248796,-.0057379357,12.222799
40,119,30401,Stillwater,58423.313,18.484352,.39142042,.39388251,.060563814,22584.03682380793,41435.99032967033,.24622113,.21192785,.21896657,.79709113,.04561086,.038655464,.028510794,.039663412,.8351168,.021181723,.024978397,3.7804396,721.35986,.32058412,.18151438,.26317364,.54081172,.61718029,78.083939,.048263609,112.96869,99.590622,.0088424673,52.399361
40,121,30100,Fort Smith,53232.211,21.161276,.13011003,.15001172,.017586807,20304.06828862958,46418.79047494382,.20058963,.17833859,.18937685,.7190479,.042542052,.038964156,.0038329032,.045083355,.7641803,.021270353,.0024583044,3.4742072,635.63824,.36375687,.19626081,.28769121,.4098208,.47875908,67.807587,,35.111683,33.668514,-.01214231,12.773246
40,123,33901,Ada,53826.383,19.038029,.22125117,.26394299,.017664528,19815.22550256187,45141.82809666062,.20977369,.16556156,.2132961,.69276112,.035660941,.040622,.0051290807,.028158424,.74933428,.022296697,.0044263098,3.1275671,618.61664,.35676962,.21227017,.28176633,.5222317,.5715062,66.281792,,52.040779,48.780251,.00069699128,23.315081
40,125,33803,Oklahoma City,60139.145,26.746078,.15463655,.1639919,.015757689,23538.03819270651,45405.00192966792,.1704379,.14439672,.16656053,.74367094,.038838167,.041444659,.0049364977,.033249307,.79017711,.023474459,.0051395157,3.1665602,622.09229,.34620848,.1918267,.28126991,.37306643,.55984706,80.3423,.1606454,88.16095,83.182999,.0061522024,38.55661
40,127,34002,Idabel,45314.219,27.337612,.12412331,.11756298,.0056234277,13590.52723463316,33562.24792602834,.27465057,.23015939,.30247635,.73885238,.010456273,.024196336,.0011705371,.0097926091,.77106887,.016384983,.00068975898,3.4131057,479.80963,.50366724,.21397538,.27785838,.46842003,.47332636,69.925827,,8.2903719,8.3584318,-.0099243466,3.0741434
40,129,33801,Elk City,57971.504,23.002043,.15776294,.20130666,.022096317,19813.96238244514,48462,.11558074,.16318116,.17562637,.87304634,.0071291472,.045242663,.0030161776,.0043655415,.90221184,.026484285,.00087310828,3.1457093,478,.24664879,.12115733,.19761905,.45213139,.59411335,76.900002,.34702548,3.1959381,3.0110347,-.00048774618,1.5931493
40,131,30402,Tulsa,79092.641,26.829361,.1746358,.21182102,.019872256,30975.48278288254,62388.51720844601,.094505325,.080534324,.10142321,.73678154,.014222426,.037155516,.0044139428,.0084666042,.79584408,.018034199,.0027440127,3.8219941,732.42194,.21889429,.14440455,.19574445,.25968665,.63601553,79.49337,.075877436,128.6279,104.5556,.012821447,61.564671
40,133,33803,Oklahoma City,49774.504,24.682463,.12178301,.13325198,.013865516,17790.08037401931,37269.11561101954,.23785947,.2061861,.23469076,.67235696,.061965309,.035436779,.0021886721,.063125134,.70262134,.022202052,.0019775415,3.0775428,530.40948,.41246787,.19128522,.30139652,.42232245,.49930164,70.955528,,40.266228,39.338284,-.003299481,14.131578
40,135,30100,Fort Smith,51573.887,27.555792,.10741779,.12202627,.016467312,18624.94374817317,36116.26118751622,.20669399,.19816878,.24535511,.65188366,.023519143,.033922296,.0026846842,.02233435,.6746918,.020448083,.0014046942,3.896152,586.37476,.32189032,.22005674,.27578121,.29813361,.54142296,66.411469,-.0072713881,62.962852,57.884651,-.009921737,22.953644
40,137,33601,Lawton,57606.188,21.741676,.16518377,.16242963,.018196208,23357.75226786094,45302.12269135145,.12334156,.14309788,.17706822,.82518649,.026305275,.061933938,.0043113171,.022720741,.86470616,.038482618,.002717115,3.1494532,596.33313,.26471615,.16296749,.23706491,.43498486,.52465254,77.518494,.088125356,51.764793,49.620567,.0056211334,22.399466
40,139,31006,Guymon,63912.891,17.022465,.17951214,.20185725,.21288954,24264.94515503876,51740.56967054264,.15636782,.13983743,.12941769,.5275678,.017441859,.41952521,.0058516585,.0069574974,.66252482,.30351114,.0047320123,2.9888077,667.00415,.25152084,.14124671,.19837067,.59888297,.63988453,68.698181,.16435696,10.111392,9.8502789,-.0098770624,4.3512297
40,141,33603,Frederick,52146.984,20.959879,.12664866,.14143215,.054914881,18032.48887700256,38610.26101101101,.21328524,.2181001,.2264383,.64627129,.079954952,.2230981,.0016981267,.095447376,.68691748,.17540322,.0028414181,3.0766363,568.09161,.29308885,.18194583,.25188887,.49425775,.49026319,75.62236,,9.1742487,10.660817,-.0087398393,3.6584499
40,143,30402,Tulsa,77758.477,21.173857,.26855594,.27906471,.074287586,31867.45778334953,55933.85637956722,.15164819,.10995398,.12084498,.65197057,.11983699,.11034416,.01678827,.10526171,.73712742,.057527818,.013468491,2.8397398,825.86578,.34684491,.22111404,.299595,.3325063,.64615154,76.891197,.082163319,1058.147,987.81927,.0070516458,517.64417
40,145,30402,Tulsa,75090.422,28.057817,.16409211,.20880304,.026324434,31145.70145693897,59236.05542861053,.11516037,.08380916,.11120889,.73404938,.046685368,.047725253,.0058581154,.040433008,.79325223,.026428498,.0033495778,3.3443496,695.56854,.24341045,.13848524,.20543143,.19179192,.64639431,75.247665,.053309176,130.14708,102.37785,.015316522,60.73827
40,147,29403,Bartlesville,72056.461,21.754776,.25444928,.25815257,.031605959,31659.09878746397,51189.47288920276,.1322356,.11645304,.10561637,.75900424,.033447113,.050141241,.0093785794,.027241712,.8004815,.025737297,.0069721956,4.1703029,638.23242,.36077499,.17704749,.24724649,.52684456,.55743861,80.643471,.028814331,122.69951,117.93363,.0025296996,56.422611
40,149,33801,Elk City,56082.176,21.58963,.14969781,.1641802,.014854101,18868.14635354331,48863.52205692665,.16751939,.15456967,.20425807,.85897326,.010147046,.08117637,.002335974,.0056846929,.90312606,.045470044,.0031249062,3.1121264,633.32178,.23812921,.11469403,.2147845,.41248277,.56901288,75.019814,.19729799,11.592287,11.471669,-.0056799427,5.3251352
40,151,30502,Enid,56841.07,13.903785,.23846173,.28174359,.016650457,19801.78353363169,56271.15217391304,.12530625,.15114255,.1571129,.86551023,.038860105,.047758505,.0061950888,.025617104,.9182449,.024170078,.0050412714,3.329278,646.14587,.36147448,.1482493,.24326704,.70775568,.56013054,83.713387,.09717115,6.9011407,7.0651574,.016626025,3.8664422
40,153,30501,Woodward,60929.23,19.865925,.15327349,.17240755,.051874261,23944.18569792341,60015.68905930979,.12059174,.12042616,.13885196,.82824558,.017927395,.10597081,.0056054825,.01348695,.90230048,.047304802,.0039314753,2.7281361,687.1228,.21565224,.15563983,.23134705,.52563375,.58808362,73.705864,.18293008,16.163084,14.879278,.011372216,8.3346815
41,1,39201,La Grande,54850.695,17.156103,.16339549,.20534235,.0049913046,22576.79817901959,42430.08491384653,.19755329,.14600904,.14541018,.92624271,.0057022437,.032725919,.0038428165,.0035400873,.94587159,.02359532,.0035854946,3.3696136,656.14063,.25096631,.16620813,.28182045,.64784044,.50875527,83.699722,.10339435,5.2581887,5.4560146,-.007691605,2.0017228
